service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2001,0,0,1,1,1,1,0,20230501,20230507
2002,1,1,1,1,1,0,0,20230918,20230924
2003,1,1,1,1,1,0,0,20231016,20231022
2004,0,0,0,0,0,1,1,20230508,20230521
2005,0,0,0,0,1,1,1,20230807,20230813
2006,1,1,1,1,1,1,1,20230522,20230730
2007,1,0,0,0,0,0,0,20230731,20230806
2008,0,1,1,1,1,0,0,20230904,20231022
2009,0,1,1,1,1,1,0,20231204,20231210
2010,1,1,1,1,1,1,1,20230424,20230611
2011,1,1,1,1,1,0,0,20230626,20230702
2012,1,1,1,1,1,1,1,20230703,20230709
2013,0,0,0,0,0,0,1,20230710,20230827
2014,1,1,1,1,1,0,0,20230612,20230813
2015,1,1,1,1,1,1,0,20230508,20230521
2016,1,1,1,1,1,1,1,20231016,20231022
2017,1,1,1,1,1,1,0,20230605,20230903
2018,1,1,1,1,1,0,1,20230529,20230903
2019,0,0,0,0,1,0,1,20230904,20230910
2020,1,1,0,0,0,0,0,20230904,20230910
2021,1,1,1,1,1,1,1,20230904,20231203
2022,1,1,1,1,1,0,0,20230501,20230507
2023,0,0,0,0,1,1,1,20230828,20230903
2024,0,0,0,0,0,0,1,20230612,20230827
2025,0,0,0,0,0,1,0,20230529,20231015
2026,0,0,0,0,0,1,0,20231023,20231029
2027,0,0,1,0,0,1,0,20231030,20231105
2028,1,1,1,1,1,1,1,20230424,20230806
2029,0,0,0,0,0,1,1,20230904,20231022
2030,1,1,1,0,0,0,0,20231030,20231105
2031,1,1,1,1,1,1,1,20230522,20230827
2032,1,1,0,0,0,0,0,20231030,20231105
2033,1,1,1,1,1,1,1,20230814,20231029
2034,0,0,0,0,0,0,1,20230501,20230521
2035,1,0,0,0,0,0,0,20230828,20230903
2036,1,1,1,1,1,0,0,20230828,20230924
2037,0,0,0,0,0,1,1,20230828,20230924
2038,0,0,0,0,1,1,1,20230515,20230528
2039,1,1,1,1,1,1,1,20230529,20231203
2040,1,1,1,1,1,1,1,20230605,20231203
2041,0,0,0,0,0,1,0,20230717,20230723
2042,0,0,0,0,0,1,0,20230612,20230618
2043,1,1,1,1,1,1,1,20230918,20231203
2044,0,1,0,0,0,0,0,20230501,20230507
2045,1,1,1,1,1,1,1,20230508,20230514
2046,0,0,0,0,0,1,1,20230515,20230521
2047,0,0,0,0,0,0,1,20230807,20231022
2048,1,1,1,1,1,0,0,20230814,20231022
2049,0,0,0,0,0,1,1,20230605,20230903
2050,1,1,1,0,0,1,1,20230925,20231001
2051,1,1,1,1,1,1,1,20230619,20230709
2052,1,1,0,0,0,0,1,20230710,20230716
2053,0,0,0,1,1,1,1,20230710,20230716
2054,1,1,1,1,1,1,1,20230424,20230716
2055,0,0,0,0,0,1,1,20230911,20230917
2056,1,1,1,1,1,1,0,20230515,20230528
2057,1,1,1,1,1,1,0,20230925,20231015
2058,1,1,1,1,1,1,0,20230605,20231015
2059,1,1,1,1,1,1,1,20230626,20230820
2060,1,1,1,1,1,1,1,20230515,20230528
2061,1,1,1,1,1,1,1,20230605,20230611
2062,0,1,1,1,1,0,0,20230612,20230618
2063,1,1,0,0,0,1,1,20230612,20230618
2064,1,1,1,1,0,1,1,20230501,20230611
2065,1,1,1,1,1,1,1,20230703,20230716
2066,0,0,0,0,1,1,0,20230710,20230716
2067,0,0,1,1,0,0,0,20230710,20230716
2068,1,1,1,1,1,0,1,20230717,20230827
2069,1,1,0,0,1,1,1,20230529,20230604
