route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10002.,198,,IC 600 NYÍRSÉG,,2,,,
10003.,198,,IC 600 NYÍRSÉG,,2,,,
10004.,198,,IC 600 NYÍRSÉG,,2,,,
10005.,198,,IC 618 NYÍRSÉG,,2,,,
10006.,198,,IC 618 NYÍRSÉG,,2,,,
10007.,198,,IC 618 NYÍRSÉG,,2,,,
10008.,198,,IC 628 NYÍRSÉG,,2,,,
10009.,198,,IC 628 NYÍRSÉG,,2,,,
1001.,198,,Sz 35242 ,,2,,,
10010.,198,,IC 628 NYÍRSÉG,,2,,,
10011.,198,,6108 CÍVIS,,2,,,
10012.,198,,IC 602 NYÍRSÉG,,2,,,
10013.,198,,IC 602 NYÍRSÉG,,2,,,
10014.,198,,IC 602 NYÍRSÉG,,2,,,
10015.,198,,IC 604 NYÍRSÉG,,2,,,
10016.,198,,IC 604 NYÍRSÉG,,2,,,
10017.,198,,IC 604 NYÍRSÉG,,2,,,
1002.,198,,Sz 35256 ,,2,,,
10023.,198,,6196 CÍVIS,,2,,,
10024.,198,,6106 CÍVIS,,2,,,
1003.,198,,B 35256 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1004.,198,,B 35240 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1005.,198,,B 35242 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1006.,198,,B 35244 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1007.,198,,B 35246 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1008.,198,,Sz 35244 ,,2,,,
1009.,198,,Sz 35246 ,,2,,,
1010.,198,,Sz 35240 ,,2,,,
1026.,198,,Sz 35221 ,,2,,,
1027.,198,,Sz 35211 ,,2,,,
1028.,198,,Sz 35223 ,,2,,,
1029.,198,,Sz 35213 ,,2,,,
1030.,198,,Sz 35219 ,,2,,,
1031.,198,,Sz 35215 ,,2,,,
1032.,198,,Sz 35227 ,,2,,,
1033.,198,,Sz 35217 ,,2,,,
1034.,198,,Sz 35225 ,,2,,,
1037.,198,,969 ,,2,,,
1038.,198,,B 969 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1038.1,198,,969 ,,2,,,
1039.,198,,B 9057 ,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1039.1,198,,9057 ,,2,,,
10433.,198,,EC 280 METROPOLITAN,,2,,,
10437.,198,,EC 280 METROPOLITAN,,2,,,
10471.,198,,EC 272 METROPOLITAN,,2,,,
10474.,198,,EC 272 METROPOLITAN,,2,,,
10476.,198,,EC 272 METROPOLITAN,,2,,,
10477.,198,,EC 272 METROPOLITAN,,2,,,
10478.,198,,EC 272 METROPOLITAN,,2,,,
10479.,198,,EC 272 METROPOLITAN,,2,,,
10480.,198,,EC 272 METROPOLITAN,,2,,,
10481.,198,,EC 270 METROPOLITAN,,2,,,
10486.,198,,EC 270 METROPOLITAN,,2,,,
10488.,198,,EC 270 METROPOLITAN,,2,,,
10489.,198,,EC 270 METROPOLITAN,,2,,,
10490.,198,,EC 270 METROPOLITAN,,2,,,
10491.,198,,EC 270 METROPOLITAN,,2,,,
10492.,198,,EC 270 METROPOLITAN,,2,,,
10493.,198,,EC 270 METROPOLITAN,,2,,,
10499.,198,,EC 278 METROPOLITAN,,2,,,
10521.,198,,EC 274 METROPOLITAN,,2,,,
10523.,198,,EC 274 METROPOLITAN,,2,,,
10524.,198,,EC 274 METROPOLITAN,,2,,,
10525.,198,,EC 274 METROPOLITAN,,2,,,
10526.,198,,EC 274 METROPOLITAN,,2,,,
10527.,198,,EC 274 METROPOLITAN,,2,,,
10537.,198,,EC 280 METROPOLITAN,,2,,,
10538.,198,,EC 280 METROPOLITAN,,2,,,
10539.,198,,EC 280 METROPOLITAN,,2,,,
1055.,198,,9028 ,,2,,,
10553.,198,,EC 278 METROPOLITAN,,2,,,
10555.,198,,EC 278 METROPOLITAN,,2,,,
10556.,198,,EC 278 METROPOLITAN,,2,,,
10557.,198,,EC 278 METROPOLITAN,,2,,,
10558.,198,,EC 276 METROPOLITAN,,2,,,
1056.,198,,9016 ,,2,,,
10562.,198,,EC 276 METROPOLITAN,,2,,,
10564.,198,,EC 276 METROPOLITAN,,2,,,
10565.,198,,EC 276 METROPOLITAN,,2,,,
10566.,198,,EC 276 METROPOLITAN,,2,,,
10567.,198,,EC 274 METROPOLITAN,,2,,,
1057.,198,,9010 ,,2,,,
1059.,198,,19014 ,,2,,,
1060.,198,,9018 ,,2,,,
1062.,198,,9022 ,,2,,,
1063.,198,,1246 RETRO ISTRIA,,2,,,
1066.,198,Z50,,,2,,FFCD28,3C3C3C
1067.,198,Z50,,,2,,FFCD28,3C3C3C
1068.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1069.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1070.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1071.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1072.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1073.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
1074.,198,S10,,,3,"https://www.mavcsoport.hu/mav-start/belfoldi-utazas/vaganyzar",ffff00,000000
