route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
17530.,2134,10352347_2134.,Kecskemét,,,,10352347,,
17530.,2135,10352347_2135.,Kecskemét,,,,10352347,,
17530.,2294,10352347_2294.,Kecskemét,,,,10352347,,
17530.,2887,10352347_2887.,Kecskemét,,,,10352347,,
17530.,2888,10352347_2888.,Kecskemét,,,,10352347,,
17530.,3028,10352347_3028.,Kecskemét,,,,10352347,,
17530.,3029,10352347_3029.,Kecskemét,,,,10352347,,
17530.,3030,10352347_3030.,Kecskemét,,,,10352347,,
17531.,2134,10352348_2134.,Kecskemét,,,,10352348,,
17531.,2135,10352348_2135.,Kecskemét,,,,10352348,,
17531.,2294,10352348_2294.,Kecskemét,,,,10352348,,
17531.,2887,10352348_2887.,Kecskemét,,,,10352348,,
17531.,2888,10352348_2888.,Kecskemét,,,,10352348,,
17531.,3028,10352348_3028.,Kecskemét,,,,10352348,,
17531.,3029,10352348_3029.,Kecskemét,,,,10352348,,
17531.,3030,10352348_3030.,Kecskemét,,,,10352348,,
17532.,2134,10352349_2134.,Kecskemét,,,,10352349,,
17532.,2135,10352349_2135.,Kecskemét,,,,10352349,,
17532.,2294,10352349_2294.,Kecskemét,,,,10352349,,
17532.,2887,10352349_2887.,Kecskemét,,,,10352349,,
17532.,2888,10352349_2888.,Kecskemét,,,,10352349,,
17532.,3028,10352349_3028.,Kecskemét,,,,10352349,,
17532.,3029,10352349_3029.,Kecskemét,,,,10352349,,
17532.,3030,10352349_3030.,Kecskemét,,,,10352349,,
17533.,2134,10352350_2134.,Kecskemét,,,,10352350,,
17533.,2135,10352350_2135.,Kecskemét,,,,10352350,,
17533.,2294,10352350_2294.,Kecskemét,,,,10352350,,
17533.,2887,10352350_2887.,Kecskemét,,,,10352350,,
17533.,2888,10352350_2888.,Kecskemét,,,,10352350,,
17533.,3028,10352350_3028.,Kecskemét,,,,10352350,,
17533.,3029,10352350_3029.,Kecskemét,,,,10352350,,
17533.,3030,10352350_3030.,Kecskemét,,,,10352350,,
17534.,2134,10352351_2134.,Kecskemét,,,,10352351,,
17534.,2135,10352351_2135.,Kecskemét,,,,10352351,,
17534.,2294,10352351_2294.,Kecskemét,,,,10352351,,
17534.,2887,10352351_2887.,Kecskemét,,,,10352351,,
17534.,2888,10352351_2888.,Kecskemét,,,,10352351,,
17534.,3028,10352351_3028.,Kecskemét,,,,10352351,,
17534.,3029,10352351_3029.,Kecskemét,,,,10352351,,
17534.,3030,10352351_3030.,Kecskemét,,,,10352351,,
17540.,2134,10352352_2134.,Kecskemét,,,,10352352,,
17540.,2135,10352352_2135.,Kecskemét,,,,10352352,,
